"country_name","debt_change_percentage"
"Dominica","1196.75"
"Dominica","1196.63"
"Djibouti","1195.24"
"Zimbabwe","1179.18"
"Haiti","1176.57"
"Dominica","1169.31"
"Dominica","1169.31"
"Dominica","1169.21"
"Haiti","1168.32"
"Senegal","1167.40"
"Senegal","1167.40"
"Senegal","1167.40"
"Middle East & North Africa (excluding high income)","1163.09"
"Honduras","1150.05"
"IDA only","1149.01"
"IDA only","1149.01"
"Zambia","1138.43"
"Zambia","1120.40"
"Zambia","1120.40"
"Belize","1118.49"
"Belize","1118.49"
"Iraq","1111.39"
"Iraq","1111.39"
"Iraq","1111.39"
"Samoa","1098.19"
"Samoa","1098.19"
"Samoa","1098.19"
"Djibouti","1083.20"
"Djibouti","1083.20"
"Lebanon","1080.85"
"Lebanon","1080.85"
"Belize","1058.20"
"Morocco","1048.19"
"Pakistan","1032.90"
"Pakistan","1032.90"
"Montenegro","1022.67"
"Montenegro","1022.67"
"Belarus","1012.37"
"Belarus","1012.37"
"Costa Rica","1004.33"
"Angola","998.92"
"Dominica","995.08"
"Dominica","995.08"
"Dominica","995.08"
"Haiti","984.24"
"Haiti","984.24"
"Sri Lanka","980.12"
"Sri Lanka","980.12"
"Mongolia","980.11"
"Senegal","971.71"
"Senegal","971.71"
"Senegal","971.71"
"Haiti","970.88"
"Haiti","970.88"
"Belize","957.90"
"Belize","957.90"
"Belize","957.90"
"Angola","956.89"
"Pakistan","956.11"
"Mexico","953.66"
"Congo, Dem. Rep.","950.21"
"Congo, Dem. Rep.","950.21"
"Senegal","942.29"
"Senegal","942.29"
"Cote d'Ivoire","937.08"
"Uzbekistan","933.44"
"Mauritania","924.99"
"Dominican Republic","917.15"
"Dominican Republic","917.15"
"Dominica","904.44"
"Bolivia","904.08"
"Bolivia","904.08"
"Bolivia","904.08"
"Liberia","900.93"
"Liberia","900.93"
"Liberia","900.93"
"Georgia","900.80"
"Georgia","900.80"
"Georgia","900.80"
"Peru","900.17"
"Fiji","899.29"
"Fiji","899.29"
"Bosnia and Herzegovina","897.63"
"Bosnia and Herzegovina","897.63"
"Central African Republic","896.44"
"Haiti","895.83"
"Haiti","895.83"
"Haiti","895.83"
"Comoros","893.82"
"Comoros","893.82"
"Comoros","893.82"
"Fiji","892.26"
"Cabo Verde","865.59"
"Ukraine","864.70"
"Uganda","862.87"
"Uganda","862.87"
"Egypt, Arab Rep.","857.06"
"Egypt, Arab Rep.","855.31"
"Bolivia","850.35"
"Low & middle income","847.97"
"Middle income","847.97"
"Vietnam","846.66"
"Vietnam","846.66"
"Cambodia","843.46"
"Zambia","833.22"
"Zambia","833.10"
"Zambia","833.10"
"Zambia","833.10"
"Iran, Islamic Rep.","823.48"
"Iran, Islamic Rep.","823.48"
"Lesotho","816.15"
"Lesotho","816.15"
"Lesotho","816.15"
"Lesotho","816.15"
"Lesotho","816.15"
"Lesotho","816.15"
"Dominica","813.92"
"Dominica","813.92"
"Dominica","813.92"
"Guinea","813.88"
"Guinea","813.88"
"Guinea","813.88"
"Tanzania","813.59"
"Maldives","812.85"
"Kenya","809.77"
"Zambia","805.11"
"Zambia","805.11"
"Zambia","805.11"
"Mozambique","804.23"
"Mozambique","804.23"
"Nigeria","799.56"
"Zambia","798.35"
"Zambia","798.35"
"Guinea","798.18"
"Guinea","798.18"
"Guinea","798.18"
"Pakistan","797.96"
"Pakistan","797.81"
"Zambia","793.62"
"Zambia","793.62"
"Cote d'Ivoire","788.93"
"Senegal","779.97"
"Senegal","779.97"
"Senegal","779.97"
"Kosovo","778.56"
"Kosovo","778.56"
"Guatemala","769.35"
"Cote d'Ivoire","766.27"
"Cote d'Ivoire","766.27"
"Bulgaria","765.62"
"El Salvador","762.44"
"Cameroon","759.83"
"Cabo Verde","758.92"
"Bolivia","758.38"
"Bolivia","758.38"
"IDA total","750.01"
"Thailand","746.69"
"Albania","744.83"
"Vanuatu","743.68"
"IDA only","741.17"
"Uganda","736.69"
"Pakistan","729.34"
"Mongolia","729.15"
"El Salvador","729.00"
"El Salvador","729.00"
"Haiti","727.01"
"Mexico","718.63"
"Jamaica","715.35"
"Costa Rica","700.80"
"El Salvador","700.00"
"El Salvador","700.00"
"Gambia, The","697.94"
"Gambia, The","697.94"
"Gambia, The","697.94"
"Kenya","696.41"
"Mexico","691.33"
"Sao Tome and Principe","690.08"
"Sao Tome and Principe","690.08"
"Gabon","689.18"
"South Asia","686.82"
"South Asia","686.82"
"Mauritania","683.70"
"Solomon Islands","669.94"
"Cabo Verde","669.89"
"Cabo Verde","669.89"
"Cabo Verde","669.89"
"North Macedonia","668.11"
"North Macedonia","668.11"
"Madagascar","661.22"
"Zambia","660.53"
"Zambia","660.53"
"Zambia","660.53"
"Sao Tome and Principe","657.43"
"Sao Tome and Principe","657.43"
"Sao Tome and Principe","657.43"
"Sao Tome and Principe","657.43"
"Mongolia","655.15"
"Lebanon","648.93"
"Cameroon","644.92"
"Uganda","642.10"
"Djibouti","640.95"
"Djibouti","640.95"
"Djibouti","640.95"
"Djibouti","640.95"
"Cabo Verde","638.82"
"Cabo Verde","638.82"
"Cabo Verde","638.82"
"IDA total","637.80"
"IDA total","637.80"
"Fiji","637.44"
"Fiji","637.44"
"Zambia","635.62"
"Dominica","632.88"
"Sri Lanka","632.22"
"Sri Lanka","632.22"
"Zimbabwe","625.59"
"Zambia","617.00"
"Indonesia","616.09"
"Middle East & North Africa (excluding high income)","613.07"
"Solomon Islands","607.05"
"Burkina Faso","604.52"
"Central African Republic","603.53"
"Ecuador","599.47"
"Sub-Saharan Africa (excluding high income)","597.98"
"Sri Lanka","595.17"
"Sri Lanka","595.17"
"Guatemala","594.77"
"Dominica","587.79"
"North Macedonia","587.35"
"Burkina Faso","586.51"
"Burkina Faso","586.51"
"Burkina Faso","586.51"
"Burkina Faso","586.51"
"Burkina Faso","586.51"
"Burkina Faso","586.51"
"Haiti","586.20"
"Haiti","586.20"
"Haiti","586.20"
"Djibouti","585.52"
"Djibouti","585.52"
"Afghanistan","584.61"
"South Asia","584.50"
"South Asia","584.50"
"East Asia & Pacific (excluding high income)","582.56"
"Solomon Islands","579.84"
"Maldives","578.89"
"Maldives","578.89"
"Ecuador","577.92"
"Ecuador","577.92"
"Tonga","577.44"
"Tonga","577.44"
"Tonga","577.44"
"Tonga","577.44"
"Tonga","577.44"
"Tonga","577.44"
"Afghanistan","575.25"
"Ukraine","574.99"
"Bulgaria","573.39"
"Lesotho","572.87"
"Lesotho","572.87"
"Afghanistan","572.25"
"Afghanistan","572.25"
"Afghanistan","572.25"
"Afghanistan","572.25"
"Afghanistan","572.25"
"Afghanistan","571.80"
"Niger","566.75"
"Niger","566.75"
"Niger","566.75"
"Nepal","562.63"
"Nepal","562.63"
"Nepal","562.63"
"Bulgaria","562.19"
"Bulgaria","562.19"
"Guatemala","561.25"
"Mauritania","559.23"
"Maldives","557.67"
"Maldives","557.67"
"Maldives","557.67"
"Mauritius","557.23"
"Mauritius","557.23"
"Mauritius","557.23"
"Pakistan","557.02"
"Bulgaria","556.80"
"Bulgaria","556.40"
"Bulgaria","556.40"
"Yemen, Rep.","555.62"
"Yemen, Rep.","555.62"
"Yemen, Rep.","555.62"
"Yemen, Rep.","555.62"
"Ukraine","554.51"
"Pakistan","553.74"
"Pakistan","553.25"
"Pakistan","553.25"
"Senegal","552.38"
"Senegal","552.38"
"Guinea","551.50"
"Guinea","551.50"
"Guinea-Bissau","551.46"
"Bulgaria","551.07"
"Dominican Republic","549.42"
"Burkina Faso","548.19"
"Burkina Faso","548.19"
"Burkina Faso","548.19"
"Burkina Faso","548.19"
"Burkina Faso","548.19"
"Burkina Faso","548.19"
"Afghanistan","547.91"
"Afghanistan","547.91"
"Afghanistan","547.91"
"Afghanistan","547.91"
"Low income","545.93"
"Zambia","544.44"
"Zambia","544.44"
"Zambia","544.44"
"Chad","541.66"
"Chad","541.66"
"Chad","541.66"
"Pakistan","540.61"
"Belize","539.72"
"Belize","539.72"
"Afghanistan","538.94"
"Afghanistan","538.94"
"Afghanistan","538.94"
"Afghanistan","538.94"
"Haiti","538.16"
"Yemen, Rep.","535.91"
"Yemen, Rep.","535.91"
"Yemen, Rep.","535.91"
"Yemen, Rep.","535.91"
"Lao PDR","533.96"
"Zimbabwe","532.16"
"Senegal","531.81"
"Upper middle income","531.47"
"Low & middle income","531.47"
"Middle income","531.47"
"China","530.98"
"China","530.98"
"China","530.98"
"China","530.98"
"China","530.98"
"China","530.98"
"East Asia & Pacific (excluding high income)","530.98"
"East Asia & Pacific (excluding high income)","530.98"
"Chad","530.20"
"Chad","530.20"
"Chad","530.20"
"Chad","530.20"
"Chad","530.20"
"Maldives","527.02"
"Lower middle income","526.82"
"Malawi","522.17"
"Malawi","522.17"
"Malawi","522.17"
"Upper middle income","520.98"
"Middle income","520.98"
"Low & middle income","520.98"
"Pakistan","520.18"
"Burkina Faso","515.49"
"Ecuador","514.64"
"East Asia & Pacific (excluding high income)","514.17"
"Dominica","512.95"
"Tonga","509.83"
"Tonga","509.83"
"Tonga","509.83"
"Tonga","509.83"
"Tonga","509.83"
"Tonga","509.83"
"East Asia & Pacific (excluding high income)","509.33"
"Tonga","507.12"
"Mongolia","506.74"
"Fiji","505.84"
"Fiji","505.84"
"Lao PDR","504.88"
"Lao PDR","504.88"
"Lao PDR","504.88"
"Bolivia","504.46"
"Bolivia","504.41"
"Bolivia","504.41"
"Bolivia","504.41"
"Bolivia","503.82"
"Bolivia","503.82"
"Burkina Faso","503.38"
"Lao PDR","501.10"
"Morocco","501.04"
"Zambia","499.56"
"Zambia","498.80"
"Zambia","498.80"
"Mauritius","498.59"
"Ghana","498.54"
"Pakistan","494.42"
"Pakistan","494.42"
"Ecuador","494.15"
"Ecuador","494.15"
"Comoros","493.91"
"Rwanda","493.05"
"Rwanda","493.05"
"Benin","491.13"
"Pakistan","490.83"
"Paraguay","489.40"
"Central African Republic","487.32"
"Central African Republic","487.32"
"Maldives","485.17"
"Lao PDR","485.08"
"Pakistan","483.46"
"IDA total","482.83"
"Solomon Islands","482.17"
"Lesotho","478.95"
"Lesotho","478.95"
"Gambia, The","478.24"
"Ecuador","477.92"
"Bosnia and Herzegovina","476.40"
"Bosnia and Herzegovina","476.40"
"Bosnia and Herzegovina","476.40"
"Lao PDR","476.07"
"Lao PDR","476.07"
"IDA total","475.90"
"IDA total","475.90"
"Cabo Verde","475.71"
"Cabo Verde","475.71"
"Cabo Verde","475.71"
"El Salvador","474.84"
"Guatemala","473.52"
"Myanmar","472.52"
"Mauritius","470.81"
"Mauritius","470.81"
"Mauritius","470.81"
"Kenya","470.46"
"Kenya","470.46"
"Kenya","470.46"
"Dominican Republic","469.73"
"Dominica","469.39"
"Dominica","469.39"
"Nepal","467.39"
"Nepal","467.39"
"Nepal","467.39"
"Mozambique","466.96"
"Least developed countries: UN classification","465.59"
"Lao PDR","465.05"
"Lao PDR","465.05"
"Maldives","462.96"
"Maldives","462.96"
"Ghana","461.36"
"Burundi","459.84"
"Solomon Islands","459.31"
"Central African Republic","459.04"
"Congo, Dem. Rep.","457.80"
"Congo, Dem. Rep.","457.80"
"Nepal","454.13"
"Nepal","454.13"
"Nepal","454.13"
"Belize","454.04"
"El Salvador","453.02"
"Mauritania","450.79"
"Mauritania","450.79"
"Mauritania","450.79"
"Guatemala","444.15"
"IDA total","443.79"
"IDA total","443.79"
"Lebanon","442.63"
"Lebanon","442.63"
"Gambia, The","441.84"
"Gambia, The","441.84"
"Gambia, The","441.84"
"Bhutan","438.40"
"Myanmar","438.15"
"Kazakhstan","437.84"
"Dominica","437.35"
"Guinea-Bissau","436.19"
"Guinea-Bissau","436.19"
"Guinea-Bissau","436.19"
"Djibouti","435.99"
"Djibouti","435.99"
"Djibouti","435.99"
"Djibouti","435.99"
"Comoros","435.96"
"Comoros","435.96"
"Comoros","435.96"
"Comoros","435.96"
"Comoros","435.96"
"Comoros","435.96"
"Fiji","432.41"
"Chad","428.13"
"Chad","428.13"
"Chad","428.13"
"Ghana","426.75"
"Lebanon","424.71"
"Zambia","424.35"
"Botswana","423.91"
"Botswana","423.91"
"Botswana","423.91"
"Fiji","423.53"
"Congo, Dem. Rep.","423.49"
"Liberia","422.27"
"Vietnam","420.16"
"Lao PDR","419.54"
"Lao PDR","418.15"
"Lao PDR","418.15"
"Mexico","417.73"
"Mexico","417.73"
"Mexico","417.73"
"Afghanistan","417.60"
"Fiji","416.57"
"Lower middle income","414.90"
"Ethiopia","414.27"
"Ghana","414.17"
"Papua New Guinea","413.70"
"Papua New Guinea","412.50"
"Papua New Guinea","412.50"
"Belize","410.24"
"Belize","410.24"
"Angola","409.36"
"Angola","409.36"
"Angola","409.30"
"Albania","409.29"
"Guinea","408.11"
"Mozambique","405.08"
"Uganda","404.68"
"Mongolia","404.26"
"Burundi","402.71"
"Burundi","402.71"
"Burundi","402.71"
"Mongolia","401.49"
"Yemen, Rep.","399.29"
"Yemen, Rep.","399.29"
"Yemen, Rep.","398.12"
"Yemen, Rep.","398.12"
"Yemen, Rep.","397.65"
"Yemen, Rep.","397.65"
"Yemen, Rep.","397.65"
"Yemen, Rep.","397.65"
"Yemen, Rep.","397.65"
"Myanmar","396.96"
"Central African Republic","393.77"
"Paraguay","392.74"
"Georgia","391.23"
"Indonesia","390.79"
"Yemen, Rep.","389.90"
"Yemen, Rep.","389.90"
"Sao Tome and Principe","388.86"
"Sao Tome and Principe","388.86"
"Kenya","387.95"
"Kenya","387.95"
"Kenya","387.95"
"Kenya","387.95"
"Kenya","387.95"
"Kenya","387.95"
"Myanmar","387.71"
"Fiji","386.00"
"Sao Tome and Principe","385.26"
"Yemen, Rep.","383.88"
"Liberia","382.45"
"Liberia","382.45"
"Liberia","382.45"
"IDA total","380.28"
"Guinea","379.73"
"Guinea","379.73"
"Bosnia and Herzegovina","377.23"
"Bosnia and Herzegovina","377.21"
"Bosnia and Herzegovina","377.21"
"Guinea","375.67"
"Guinea","375.67"
"Dominica","374.79"
"Dominica","374.79"
"Dominica","374.79"
"Myanmar","374.49"
"Lebanon","373.56"
"Mongolia","373.08"
"South Asia","373.05"
"Mongolia","372.87"
"Pakistan","372.48"
"Pakistan","372.48"
"Angola","367.96"
"Angola","367.96"
"Angola","367.90"
"Timor-Leste","366.80"
"Gabon","365.79"
"Niger","365.13"
"Argentina","364.47"
"Paraguay","364.24"
"Guinea","363.76"
"India","363.01"
"India","363.01"
"Thailand","360.99"
"Thailand","360.99"
"Thailand","360.99"
"Thailand","360.99"
"Sri Lanka","360.10"
"Costa Rica","358.58"
"Jordan","357.97"
"Jordan","357.97"
"Lao PDR","357.54"
"Lao PDR","357.54"
"Lao PDR","357.54"
"Guinea","357.44"
"Congo, Rep.","357.13"
"South Asia","356.46"
"Maldives","355.39"
"Burundi","353.79"
"Mauritius","353.48"
"Mauritius","353.48"
"Low income","351.17"
"Djibouti","349.92"
"Mongolia","349.73"
"Myanmar","349.65"
"Paraguay","349.59"
"Chad","349.31"
"Chad","349.31"
"Chad","349.31"
"Ethiopia","348.66"
"Tanzania","348.01"
"Kazakhstan","347.60"
"Eritrea","346.84"
"Burkina Faso","346.29"
"Burkina Faso","346.29"
"Burkina Faso","346.29"
"Burkina Faso","346.29"
"Burkina Faso","346.29"
"Burkina Faso","346.29"
"El Salvador","344.36"
"Comoros","344.09"
"Comoros","344.09"
"Comoros","344.09"
"Comoros","344.09"
"Comoros","344.09"
"Comoros","344.09"
"Djibouti","343.07"
"Djibouti","343.07"
"Sri Lanka","342.81"
"Belize","342.55"
"Congo, Rep.","341.85"
"Congo, Rep.","341.85"
"Congo, Rep.","341.85"
"Sri Lanka","341.35"
"Ghana","341.32"
"Kazakhstan","340.84"
"Low income","340.67"
"Low income","340.67"
"Senegal","340.54"
"Thailand","339.56"
"Thailand","339.56"
"Morocco","339.40"
"Central African Republic","339.17"
"Central African Republic","339.17"
"Central African Republic","339.17"
"Albania","338.69"
"Bosnia and Herzegovina","336.93"
"Bosnia and Herzegovina","336.93"
"Bosnia and Herzegovina","336.93"
"Cameroon","336.91"
"Guinea","336.12"
"Morocco","335.07"
"Kenya","333.33"
"Kenya","333.33"
"Kenya","333.33"
"Lao PDR","332.31"
"Djibouti","331.25"
"Sri Lanka","330.56"
"Sri Lanka","329.07"
"Sri Lanka","327.46"
"East Asia & Pacific (excluding high income)","327.38"
"South Asia","327.26"
"Mauritania","327.09"
"Djibouti","326.46"
"Burkina Faso","326.23"
"Sri Lanka","325.79"
"Ghana","325.21"
"Dominica","324.73"
"Lao PDR","324.51"
"Low income","324.08"
"Vietnam","323.74"
"Sao Tome and Principe","323.65"
"Sao Tome and Principe","323.65"
"Sao Tome and Principe","320.99"
"Sao Tome and Principe","320.99"
"Eritrea","318.98"
"Eritrea","318.98"
"Eritrea","318.98"
"Kazakhstan","318.69"
"Kazakhstan","318.69"
"Timor-Leste","317.42"
"Timor-Leste","317.42"
"Timor-Leste","317.42"
"Papua New Guinea","316.16"
"Papua New Guinea","313.78"
"Papua New Guinea","313.78"
"Guinea","313.74"
"Guinea","313.74"
"Fiji","312.32"
"Fiji","312.32"
"Fiji","312.32"
"Fiji","312.32"
"Fiji","312.32"
"Upper middle income","311.64"
"East Asia & Pacific (excluding high income)","311.05"
"Eritrea","307.16"
"Eritrea","307.16"
"Eritrea","307.16"
"Guinea","306.87"
"Mauritania","306.41"
"Low & middle income","305.84"
"Middle income","305.84"
"Mauritania","305.53"
"Kenya","304.60"
"Kenya","304.32"
"Kenya","304.32"
"Zambia","303.33"
"Vietnam","302.76"
"Vietnam","302.76"
"Vietnam","302.76"
"Albania","302.49"
"Albania","302.49"
"Albania","302.49"
"Gambia, The","302.44"
"Belarus","301.34"
"Latin America & Caribbean (excluding high income)","301.17"
"Costa Rica","300.89"
"Mauritania","300.74"
"Mongolia","300.73"
"Ghana","300.13"
"Lao PDR","298.81"
"Lao PDR","298.81"
"Lao PDR","298.81"
"Iran, Islamic Rep.","298.76"
"Iran, Islamic Rep.","298.76"
"Lao PDR","297.11"
"Myanmar","296.36"
"Kenya","296.10"
"Kenya","296.10"
"Kenya","296.10"
"Cambodia","295.24"
"Congo, Dem. Rep.","294.95"
"Gambia, The","294.12"
"Gambia, The","294.12"
"Tanzania","293.97"
"Kyrgyz Republic","293.43"
"Kyrgyz Republic","293.27"
"Zambia","293.15"
"Zambia","293.15"
"Gabon","293.02"
"Angola","292.95"
"Angola","292.95"
"Angola","292.91"
"Nicaragua","292.67"
"Nicaragua","292.67"
"Guinea","292.27"
"Gambia, The","292.05"
"Chad","291.21"
"Belize","291.09"
"Belize","291.09"
"Chad","290.91"
"Lao PDR","290.51"
"Ethiopia","290.42"
"Ethiopia","290.42"
"Low income","290.42"
"Argentina","290.38"
"Congo, Dem. Rep.","290.28"
"Paraguay","289.87"
"Lao PDR","289.77"
"Bulgaria","288.70"
"Bosnia and Herzegovina","287.61"
"Bosnia and Herzegovina","287.60"
"Bosnia and Herzegovina","287.60"
"IDA total","287.05"
"Honduras","287.00"
"Honduras","287.00"
"Kosovo","286.50"
"El Salvador","285.97"
"El Salvador","285.97"
"El Salvador","285.97"
"Jordan","285.61"
"Jordan","285.61"
"El Salvador","285.52"
"El Salvador","285.52"
"El Salvador","285.52"
"Kazakhstan","284.65"
"Gambia, The","283.31"
"Gambia, The","283.31"
"Morocco","283.17"
"Gambia, The","283.12"
"Gambia, The","283.12"
"Cabo Verde","283.02"
"Cabo Verde","283.02"
"Cabo Verde","283.02"
"Cabo Verde","283.02"
"Cabo Verde","283.02"
"Cabo Verde","283.02"
"Albania","282.87"
"Cabo Verde","282.12"
"East Asia & Pacific (excluding high income)","280.72"
"Lao PDR","280.39"
"Lao PDR","280.39"
"Lao PDR","279.73"
"Sierra Leone","277.37"
"Albania","276.49"
"Jordan","275.97"
"Jordan","275.97"
"Djibouti","275.97"
"Tonga","275.74"
"Tonga","275.74"
"Tonga","275.74"
"Tonga","275.74"
"Tonga","275.74"
"Tonga","275.74"
"Tonga","275.74"
"Lesotho","273.14"
"Liberia","273.13"
"Liberia","273.13"
"Liberia","273.13"
